project_name,classification,type,department_allocation
nexus-prd-df6830ed,Internal Use,Sandbox Cloud Group Project,eng-managed-services
nfiguera-c3fe9e64,Internal Use,Sandbox Cloud Individual Project,sales-field-ops
ngeorge-b74c7c0b,Internal Use,Sandbox Cloud Individual Project,eng-security
ning-19665496,Internal Use,Sandbox Cloud Individual Project,sales-cs
njanz-2844107e,Internal Use,Sandbox Cloud Individual Project,eng-support
nlotz-94c06c39,Internal Use,Sandbox Cloud Individual Project,sales-ps-education
nmalcolm-896b38a4,Internal Use,Sandbox Cloud Individual Project,eng-security
nrosario-d183dd87,Internal Use,Sandbox Cloud Individual Project,eng-support
nsasaki-77482576,Internal Use,Sandbox Cloud Individual Project,sales-cs
nveenhof-3ae5c524,Internal Use,Sandbox Cloud Individual Project,eng-quality
obickell-a4f7873a,Internal Use,Sandbox Cloud Individual Project,sales-cs
onemoz-ebc7e74c,Internal Use,Sandbox Cloud Individual Project,eng-support
opstrace-dev-bee41fca,Internal Use,Sandbox Cloud Individual Project,opstrace-realm
opstrace-prd-ac6ca492,Internal Use,Sandbox Cloud Individual Project,opstrace-realm
opstrace-stg-a8655950,Internal Use,Sandbox Cloud Individual Project,opstrace-realm
pagerslack-prd-a360db62,Internal Use,Sandbox Cloud Individual Project,eng-infra-saas-realm
partiaga-162873c0,Internal Use,Sandbox Cloud Individual Project,eng-dev
pattouche-e91e5654,Internal Use,Sandbox Cloud Individual Project,sales-cs
pbopardikar-3c1388e8,Internal Use,Sandbox Cloud Individual Project,sales-cs
pdistefano-45132489,Internal Use,Sandbox Cloud Individual Project,sales-cs
pgascouvaillancourt-aaeea5c9,Internal Use,Sandbox Cloud Individual Project,eng-dev
pguinoiseau-d4a81af5,Internal Use,Sandbox Cloud Individual Project,eng-infra
pkaldis-25c20ab5,Internal Use,Sandbox Cloud Individual Project,ga-business-tech
pkng-c10777e3,Internal Use,Sandbox Cloud Individual Project,sales-cs
platypus-dev-2af94120,Internal Use,Sandbox Cloud Group Project,platypus
plaurinavicius-801f6d5d,Internal Use,Sandbox Cloud Individual Project,ga-business-tech
pmurray-53d6b977,Internal Use,Sandbox Cloud Individual Project,eng-support
prozlach-2b5ea49f,Internal Use,Sandbox Cloud Individual Project,eng-dev
psteinhardt-1ee5ebab,Internal Use,Sandbox Cloud Individual Project,eng-dev
psureshbabu-37f89ce9,Internal Use,Sandbox Cloud Individual Project,eng-support
ramarilla-23ecfc7d,Internal Use,Sandbox Cloud Individual Project,sales-cs
ratchade-6071ea85,Internal Use,Sandbox Cloud Individual Project,eng-dev
rcastro-4ff0429f,Internal Use,Sandbox Cloud Individual Project,eng-support
rdeoliveira-1259dc04,Internal Use,Sandbox Cloud Individual Project,eng-support
remy-d65bf3c2,Internal Use,Sandbox Cloud Individual Project,eng-quality
rfuerst-2c5d38f6,Internal Use,Sandbox Cloud Individual Project,sales-cs
rjackson-9384e423,Internal Use,Sandbox Cloud Individual Project,sales-cs
rkelly-b24a6cae,Internal Use,Sandbox Cloud Individual Project,eng-support
rmongare-431eae0a,Internal Use,Sandbox Cloud Individual Project,eng-support
rraquedan-3914aafb,Internal Use,Sandbox Cloud Individual Project,sales-cs
rtomonari-842900000000000000000,Internal Use,Sandbox Cloud Individual Project,eng-dev
rvanzon-d27347ca,Internal Use,Sandbox Cloud Individual Project,eng-support
rverschoor-b702d512,Internal Use,Sandbox Cloud Individual Project,eng-support
rwilliams-41f787bc,Internal Use,Sandbox Cloud Individual Project,sales-cs
ryappleby-b426dcfe,Internal Use,Sandbox Cloud Individual Project,sales-ps-consulting
sa-candidate-experience-8049f430,Internal Use,Sandbox Cloud Group Project,sales-cs
sabrams-c2fed692,Internal Use,Sandbox Cloud Individual Project,eng-dev
sahbabou-a5e6367b,Internal Use,Sandbox Cloud Individual Project,eng-support
sakkoub-bd1da255,Internal Use,Sandbox Cloud Individual Project,sales-cs
sales-cs-postfacto-3ec9e6c4,Internal Use,Sandbox Cloud Group Project,eng-services-realm
sales-cs-sandbox-sa-candidate-experience-f59c8264,Internal Use,Sandbox Cloud Individual Project,sales-cs
sazhar-729b5e3c,Internal Use,Sandbox Cloud Individual Project,eng-support
sazzopardi-c49acbd3,Internal Use,Sandbox Cloud Individual Project,eng-infra
sberger-3d6365e2,Internal Use,Sandbox Cloud Individual Project,eng-dev
sbernaldamasco-58917af9,Internal Use,Sandbox Cloud Individual Project,eng-support
sbouly-c38378b5,Internal Use,Sandbox Cloud Individual Project,eng-support
sbrienen-afb3d2f8,Internal Use,Sandbox Cloud Individual Project,sales-cs
sbrightwell-bc525ce8,Internal Use,Sandbox Cloud Individual Project,sales-cs
scarpenter-2d912ba9,Internal Use,Sandbox Cloud Individual Project,eng-support
schaplin-955ff72d,Internal Use,Sandbox Cloud Individual Project,sales-cs
schin-f87ee9b9,Internal Use,Sandbox Cloud Individual Project,eng-infra
sean-f17b6f77,Internal Use,Sandbox Cloud Individual Project,eng-infra
sec-compliance-iscp-c3cb3043,Internal Use,Sandbox Cloud Group Project,eng-security
sec-gsoc-pkg-hunter-549cc267,Internal Use,Sandbox Cloud Individual Project,eng-security
sec-pm-demo-fe397a9f,Internal Use,Sandbox Cloud Group Project,product-mgmt
sec-vuln-mgmt-ca371c51,Internal Use,Sandbox Cloud Group Project,eng-security
sfirdaus-d0123ef9,Internal Use,Sandbox Cloud Individual Project,sales-ps-consulting
sgeorge-19d0d141,Internal Use,Sandbox Cloud Individual Project,eng-infra
sgrossman-1502bd7e,Internal Use,Sandbox Cloud Individual Project,sales-cs
shewitt-c9f1cb28,Internal Use,Sandbox Cloud Individual Project,eng-support
skamani-3847cfb6,Internal Use,Sandbox Cloud Individual Project,sales-cs
sladgrove-c1a313b9,Internal Use,Sandbox Cloud Individual Project,ga-business-tech
sliaquat-2f92b468,Internal Use,Sandbox Cloud Individual Project,eng-quality
smanicor-48377627,Internal Use,Sandbox Cloud Individual Project,sales-cs
smansfield-e7b1322d,Internal Use,Sandbox Cloud Individual Project,sales-cs
smsingh-dbf03362,Internal Use,Sandbox Cloud Individual Project,sales-cs
snachnolkar-22e7f860,Internal Use,Sandbox Cloud Individual Project,eng-dev
spahl-96f32ecf,Internal Use,Sandbox Cloud Individual Project,product-mgmt
spatnaik-a11cc4ab,Internal Use,Sandbox Cloud Individual Project,eng-dev
ssrey-e885af15,Internal Use,Sandbox Cloud Individual Project,eng-support
ssrirangan-504e97bf,Internal Use,Sandbox Cloud Individual Project,sales-cs
sstreet-2078e4c7,Internal Use,Sandbox Cloud Individual Project,eng-support
stan-745c536c,Internal Use,Sandbox Cloud Individual Project,eng-dev
sterhar-bade2411,Internal Use,Sandbox Cloud Individual Project,sales-cs
svijayakumaran-2cee4dcf,Internal Use,Sandbox Cloud Individual Project,sales-cs
swainaina-e7bf47be,Internal Use,Sandbox Cloud Individual Project,eng-support
swalters-23953f6f,Internal Use,Sandbox Cloud Individual Project,sales-cs
tatkins-4c16d7ce,Internal Use,Sandbox Cloud Individual Project,eng-support
tdavis-204aaa60,Internal Use,Sandbox Cloud Individual Project,mktg-product
tenable-connector-a163ba0c,Internal Use,Sandbox Cloud Group Project,eng-services-realm
tfurrer-c0e87d3e,Internal Use,Sandbox Cloud Individual Project,eng-dev
tguo-1f1417ae,Internal Use,Sandbox Cloud Individual Project,eng-dev
tkomatsubara-32f96523,Internal Use,Sandbox Cloud Individual Project,sales-cs
tmcatee-b526b6ab,Internal Use,Sandbox Cloud Individual Project,eng-support
tmedlin-40a0b706,Internal Use,Sandbox Cloud Individual Project,sales-cs
tpresa-f4239223,Internal Use,Sandbox Cloud Individual Project,sales-ps-consulting
tskora-11fd94ca,Internal Use,Sandbox Cloud Individual Project,sales-cs
ufierro-0d4f6a96,Internal Use,Sandbox Cloud Individual Project,eng-support
ugovindia-bca6aa7d,Internal Use,Sandbox Cloud Individual Project,eng-security
unreview-poc-39020000000,Internal Use,Sandbox Cloud Group Project,eng-dev
vbrodsky-c985f3ec,Internal Use,Sandbox Cloud Individual Project,eng-support
vbudica-99836d48,Internal Use,Sandbox Cloud Individual Project,sales-cs
vburton-cccde6ca,Internal Use,Sandbox Cloud Individual Project,eng-quality
vdzalbo-b1f4cf72,Internal Use,Sandbox Cloud Individual Project,sales-cs
vhariharan-af4aefb7,Internal Use,Sandbox Cloud Individual Project,eng-support
vmihai-3e2150a0,Internal Use,Sandbox Cloud Individual Project,eng-support
vnagy-ec626bda,Internal Use,Sandbox Cloud Individual Project,product-mgmt
vponnapalli-e4707ad8,Internal Use,Sandbox Cloud Individual Project,sales-practice-mgmt
